Codice identificativo	tags
20240111-1232	deconolizzazione, seconda guerra mondiale, autodeterminazione dei popoli, colonialismo 
20240111-1306	Corso Informatica, azienda 
20240111-1428	il lato negativo della decolonizzazione, sviluppo, colonizzatori, indipendenza 
20240111-1509	Trickle down economics, Ronald Reagan, ricchi, tasse poveri, tassazione, economia del gocciolamento.
20240111-1749	L'italia prima della seconda guerra mondiale, piano marshall dopo la guerra 
20240111-1752	Golden Age of capitalism, stagflazione 
20240111-2152	Jobless growth, aumento dell'offerta ma non dei posti di lavoro 
20240111-2153	lean production, toyota production, togliere gli sprechi 
20240107-0101	Parlamento europeo commissione europea
20240113-1030	Keiretsu, corporazioni, gruppi di aziende, banche
20240113-1643	Crollo dell'unione sovietica URSS, democrazia e libertà
20240114-1039	Reaganomics, Ronald Reagan, supply side economics, deregolamentazione, welfare state, stato sociale
20240114-1040	Discontinuità, divergenza, vita
20240114-1041	Crisi del 1987, black monday, wall street
20240114-1046	Gazprom, russia, URSS, gas naturale, nord stream, conglomerato
20240114-1049	cronologia presidenti URSS, Lenin, Stalin, Nikita Krusev, Mikhail Gorbachev
20240114-1050	La cina è L'officina del mondo
20240114-1054	supply side, trickle down economics, Ronald Reagan, reaganomics
20240114-1224	Come avviene una crisi di sovrapproduzione, circolo vizioso
20240114-1226	Ruggenti anni venti, 20, grande depressione, crisi di sovrappoduzione, credito
20240114-1227	Grande depressione internazionale, USA, America, Europa, ruggenti anni venti, 20
20240114-1346	Politiche di Roosveelt, grande depressione, wpa, tva, sovrapproduzione, Tennessee Valley Authority, Worrks Progress Adminiatration
20240114-1347	WPA, Works Progress Administration, Roosveelt, opposizioni
20240114-1854	Neoliberismo, stato sociale, libertà di mercato
20240114-1856	Quesnay Francois, fisiocrazia, tavola economica
20240114-1857	Fisiocrazia, produzione, agricoltura
20240118-1544	Enti pubblici, autogoverno, volere agire, attribuzioni competenze
20240118-1545	Soggetti di diritto, persone fisiche, persone giuridiche
20240118-1547	Funzione primaria delle pubbliche amministrazioni, diritti e servizi, interesse pubblico, governo
20240118-1548	esecuzione per vi amministrativa, apparato esecutivo, uffici servizi
20240118-1550	I 5 principi costituzionali dell'organizzazione pubblica, semplificazione amministrativa
20240118-1704	Come è formato un ente pubblico, attribuzione, competenze, organi
20240119-0730	Politica, amministrazione spoil system, corruzione clientelismo, titolari, dirigenti enti pubblici
20240119-0733	Gli impiegati pubblici, concorso pubblico, responsabilità personale
20240119-0735	Pubblica amministrazione, interessi pubblici, enti pubblici
20240119-0736	Procedimento amministrativo, provvedimento amministrativo, istruttoria, atti amministrativi
20240119-0739	Titolari degli enti pubblici, dipendenti, principio democratico, competenza, rappresentanza, politica, amministrazione, Ti, Fe
20240119-0741	Democrazia pluralista, stato liberale, suffraggio universale, pluralismo politico, rapppresentanza
20240119-1423	tipologie di provvedimenti amministrativi, ablatori, concessori, autorizzatori.
20240119-1424	Sanatorie, provvedimenti amministrativi annullabili, strumenti di autotutela delle pubbliche amministrazioni
20240119-1426	Vizi dei provvedimenti amministrativi, efficacia, annullabilità, illegittimità, nullità
20240119-1427	Incompetenza assoluta, relativa, nullità, annullabilità
20240119-1428	silenzio inadempimento, rigetto, assenso
20240119-1430	modello gerarchico della pubblica amministrazione, ascendente discendente, burocrazia
20240119-1431	arbitrio e discrezionalità amministrativa
20240119-1432	discrezionalità amministrativa
20240119-1810	Forme di stato, forme di governo, potere, società, separazione dei poteri, stato composto, federale, regionale
20240119-1811	Democrazie maggioritarie, forme di stato, opposizione, pluralismo politico
20240119-1812	Forme di stato, democrazie consociative
20240119-1813	Stato sociale, forme di stato, previdenza sociale, assistenza sanitaria
20240119-1814	timeline, cronologia delle forme di stato
20240119-1815	Stato composto, stato unitario, potere centrale e decentrato
20240119-1817	Differenza fra stato federale e regionale
20240119-1818	Consiglio europeo, capi di stato, Charles Micheal
20240119-1819	Corte di giustizia europea
20240119-1821	Commissione europea, proposta di legge
20240119-1822	Organizzazione dell'unione europea, corte dei conti
20240119-1823	Cosa è lo stato?, potere politico, sovranità interna, esterna
20240120-1005	Autotutela, vizi dei provvedimenti amministrativi, ratifica
20240120-1006	annullamento vs revoca, istituti di autotutela, ex tunc, ex nunc, retroattivo
20240120-1557	forme di governo, monarchia costituzionale, monarchia parlamentare
20240120-1558	spaccio illegale di dataset sul deep web
20240120-1559	parlamentarismo, dualista e monista
20240120-1560	regioni, autonomia e decentramento
20240121-0731	forme di governo, monarchia, repubblica
20240121-0732	processo di revisione costituzionale, promulgazione, referendum popolare
20240121-0733	costituzione, revisione costituzionale, articolo 139, principi fondamentali
20240121-0941	Decreto legislativo, legge di delega, governo
20240121-0943	Legge formale, iniziativa, deliberazione, promulgazione
20240121-0944	Chi può presentare un progetto di legge? Iniziativa riservata
20240121-0948	Commissione referente, redigente, deliberante. Procedimenti legislativi, procedimento ordinario, presidente della repubblica
20240121-1646	Google trends, ricerca di mercato, analisi dei dati, Anna's archive, libri e papers gratis.
20240121-1649	Regolamenti esecutivi, di esecuzione, potere esecutivo
20240121-1650	Regolamenti amministrativi, dell'esecutivo, di esecuzione, governativi
20240121-1651	gerarchia delle fonti, regolamenti
20240121-1652	Referendum abrogativo, consultivo, costituzionale
20240121-2127	Fonti di produzioni del diritto, atti e fatti normativi
20240121-2128	Fatti e atti giuridici e normativi
20240121-2129	Fonti del diritto, primarie e secondarie. Gerarchia
20240121-2131	Ricorsione, ordinamento giuridico, norma giuridica, sistema ricorsivo
20240122-1118	Gerarchia delle fonti, costituzione, fatti e atti normativi, fonti del diritto
20240122-1120	Creare 2 curriculum, uno integrale ed uno specializzato
20240122-1641	annullamento, efficacia di una legge, effetto retroattivo, abrogazione,
20240122-1642	deroga, antinomie
20240123-1023	
20240123-1025	invalidità, inefficenza, ex nunc, tunc
20240123-1026	Tempo lineare, zettelkasten, prendere decisioni migliori,chiedere consiglio
20240123-1027	profitto, costi, ricavi, scelta migliore
20240123-1030	
20240123-1031	abrogazione implicita
20240123-1033	criterio cronologico
20240123-1034	rinvio fisso, mobile
20240123-1035	antinomie, criteri di risoluzione, irretroattività
20240123-1037	reinstallare il sistema operativo
20240123-1040	Giorgia Meloni, Sergio Mattarella, articolo 92, governo, camere, parlamneto, senato, fiducia
20240123-1041	criterio di specialità, deroga
20240123-1047	riserva di legge formale
20240123-1828	disposizioni costituzionali, leggi costituzionali, trattati internazionali, corte costituzionale,, parametri interposti
20240123-1830	leggi e articoli costituzionali
20240123-1831	giudici della corte costituzionale
20240124-0840	Decisione di inammissibilità, sentenze di accoglimento, rifiuto
20240124-0841	lontano da chi voglio essere, lontano da chi amo, alone
20240124-0843	corte costituzionale, ricorso, sentenze
20240124-0844	vizio formale, sostanziale
20240124-0845	ordinanza vs sentenza, giudizio
20240124-0846	sentenze di accoglimento manipolative, parziale, additive, sostitutive
